센터ID,프로그램ID
C0168,P0104
C0168,P0435
C0168,P0102
C0169,P0436
C0169,P0437
C0169,P0438
C0169,P0181
C0170,P0439
C0170,P0008
C0170,P0389
C0170,P0440
C0171,P0034
C0171,P0046
C0171,P0441
C0171,P0171
C0171,P0442
C0172,P0443
C0173,P0444
C0174,P0445
C0174,P0004
C0174,P0288
C0174,P0125
C0174,P0031
C0174,P0390
C0174,P0446
C0174,P0447
C0175,P0216
C0175,P0432
C0175,P0389
C0176,P0034
C0176,P0177
C0176,P0341
C0176,P0448
C0177,P0449
C0177,P0450
C0177,P0451
C0177,P0004
C0178,P0034
C0178,P0171
C0178,P0112
C0178,P0452
C0179,P0046
C0179,P0101
C0179,P0453
C0179,P0454
C0179,P0455
C0180,P0119
C0180,P0322
C0180,P0456
C0180,P0457
C0180,P0458
C0181,P0459
C0181,P0460
C0181,P0130
C0181,P0031
C0181,P0461
C0181,P0462
C0181,P0463
C0181,P0084
C0181,P0196
C0182,P0464
C0183,P0465
C0183,P0283
C0183,P0009
C0183,P0118
C0184,P0004
C0184,P0466
C0184,P0265
C0184,P0467
C0184,P0468
C0184,P0196
C0184,P0055
C0184,P0469
C0184,P0255
C0184,P0470
C0184,P0471
C0184,P0350
C0184,P0169
C0184,P0023
C0185,P0134
C0185,P0004
C0185,P0215
C0186,P0008
C0186,P0472
C0187,P0473
C0187,P0169
C0187,P0474
C0188,P0004
C0188,P0475
C0188,P0030
C0188,P0283
C0189,P0476
C0189,P0102
C0189,P0477
C0190,P0004
C0190,P0478
C0190,P0201
C0190,P0206
C0190,P0479
C0191,P0206
C0191,P0008
C0192,P0134
C0192,P0215
C0193,P0004
C0193,P0119
C0193,P0019
C0193,P0156
C0193,P0009
C0193,P0302
C0193,P0113
C0193,P0480
C0194,P0008
C0194,P0481
C0194,P0009
C0194,P0156
C0195,P0001
C0195,P0115
C0196,P0004
C0196,P0030
C0197,P0482
C0197,P0483
C0197,P0130
C0197,P0484
C0197,P0485
C0197,P0107
C0197,P0486
C0198,P0205
C0198,P0177
C0198,P0487
C0198,P0102
C0198,P0156
C0198,P0009
C0198,P0488
C0198,P0031
C0198,P0489
C0199,P0009
C0199,P0490
C0200,P0004
C0200,P0030
C0200,P0491
C0201,P0492
C0202,P0134
C0202,P0008
C0202,P0215
C0203,P0134
C0203,P0493
C0204,P0004
C0204,P0169
C0205,P0004
C0205,P0030
C0205,P0131
C0205,P0494
C0206,P0001
C0206,P0107
C0206,P0495
C0206,P0122
C0206,P0496
C0207,P0497
C0208,P0004
C0208,P0006
C0208,P0498
C0208,P0499
C0208,P0500
C0208,P0196
C0208,P0501
C0209,P0034
C0209,P0502
C0209,P0503
C0209,P0103
C0209,P0504
C0209,P0296
C0209,P0302
C0209,P0505
C0209,P0506
C0209,P0507
C0209,P0508
C0212,P0509
C0213,P0101
C0213,P0498
C0213,P0510
C0213,P0511
C0213,P0006
C0213,P0512
C0213,P0032
C0213,P0513
C0213,P0084
C0213,P0208
C0213,P0514
C0213,P0196
C0213,P0515
C0213,P0516
C0214,P0351
C0214,P0205
C0214,P0149
C0214,P0517
C0214,P0130
C0214,P0428
C0214,P0518
C0214,P0519
C0214,P0520
C0214,P0521
C0214,P0522
C0214,P0523
C0214,P0524
C0214,P0525
C0214,P0526
C0214,P0527
C0214,P0528
C0215,P0529
C0216,P0530
C0217,P0066
C0217,P0100
C0217,P0531
C0217,P0156
C0217,P0102
C0217,P0097
C0217,P0053
C0219,P0532
C0219,P0030
C0219,P0130
C0219,P0281
C0219,P0533
C0219,P0534
C0219,P0535
C0220,P0536
C0220,P0030
C0220,P0008
C0220,P0537
C0220,P0538
C0221,P0001
C0221,P0539
C0221,P0540
C0221,P0387
C0221,P0541
C0221,P0542
C0221,P0543
C0221,P0130
C0221,P0544
C0221,P0545
C0221,P0031
